province,harvest_area,productivity,production,year
SULAWESI BARAT,648261800,5323,345050370,2020
MALUKU,286682200,3853,110447300,2020
MALUKU UTARA,103019100,4211,43382850,2020
PAPUA BARAT,75706300,3220.0000000000005,24378330,2020
PAPUA BARAT DAYA,NA,NA,NA,2020
PAPUA,527275199.99999994,3148,166002300,2020
PAPUA SELATAN,NA,NA,NA,2020
PAPUA TENGAH,NA,NA,NA,2020
PAPUA PEGUNUNGAN,NA,NA,NA,2020
ACEH,2970583800,5503,1634639600,2021
SUMATERA UTARA,3854050000,5200,2004142510,2021
SUMATERA BARAT,2723919500,4836,1317209380,2021
RIAU,530623500,4098,217458870,2021
JAMBI,644122600,4629,298149250,2021
SUMATERA SELATAN,4962416500,5144,2552443190,2021
BENGKULU,557046900,4867,271117190,2021
LAMPUNG,4895732300,5077,2485452780,2021
KEP. BANGKA BELITUNG,182782700,3857,70496250,2021
KEP. RIAU,2701600.0000000005,3165,855010,2021
DKI JAKARTA,5599700,5803,3249470,2021
JAWA BARAT,16041093100,5681,9113573080,2021
JAWA TENGAH,16967123600.000002,5669,9618656810,2021
DI YOGYAKARTA,1075061600,5177,556531030,2021
JAWA TIMUR,17474812000,5602,9789587670,2021
BANTEN,3182484600,5038,1603247000,2021
BALI,1052013100,5883,618910810,2021
NUSA TENGGARA BARAT,2762118800,5139,1419559840,2021
NUSA TENGGARA TIMUR,1749000700,4185,731877740,2021
KALIMANTAN BARAT,2231657400,3190,711898010,2021
KALIMANTAN TENGAH,1258700500,3028,381189550,2021
KALIMANTAN SELATAN,2542635900,3997,1016313550,2021
KALIMANTAN TIMUR,662694600.0000001,3692,244677960,2021
KALIMANTAN UTARA,88808300,3374,29967310,2021
SULAWESI UTARA,591825200,3935,232884760,2021
SULAWESI TENGAH,1821866200,4759,867012770,2021
SULAWESI SELATAN,9851582300,5167,5090637230,2021
SULAWESI TENGGARA,1275172900,4157,530029079.99999994,2021
GORONTALO,487135000,4812,234392860,2021
SULAWESI BARAT,597631800,5205,311072460,2021
MALUKU,283197500,4124,116803670,2021
MALUKU UTARA,77819600,3604.9999999999995,28050800,2021
PAPUA BARAT,64149399.99999999,4198,26926930,2021
PAPUA BARAT DAYA,NA,NA,NA,2021
PAPUA,649849000,4405,286279800,2021
PAPUA SELATAN,NA,NA,NA,2021
PAPUA TENGAH,NA,NA,NA,2021
PAPUA PEGUNUNGAN,NA,NA,NA,2021
ACEH,2717502000,5555,1509456000,2022
SUMATERA UTARA,4114621000,5076,2088584000,2022
SUMATERA BARAT,2718831000,5052,1373532000,2022
RIAU,510540400,4183,213557200,2022
JAMBI,605395900,4588,277743800,2022
SUMATERA SELATAN,5133782000,5406,2775069000,2022
BENGKULU,571518400,4927,281610100,2022
LAMPUNG,5182561000,5187,2688160000,2022
KEP. BANGKA BELITUNG,151078000,4065.9999999999995,61425070,2022
KEP. RIAU,1794800,2824,506910,2022
DKI JAKARTA,4772500,4898,2337770,2022
JAWA BARAT,16624040000,5675,9433723000,2022
JAWA TENGAH,16886700000,5541,9356445000,2022
DI YOGYAKARTA,1109272000,5064,561699500,2022
JAWA TIMUR,16932110000,5626,9526516000,2022
BANTEN,3372407000,5304,1788583000,2022
BALI,1123206000,6059,680601600,2022
NUSA TENGGARA BARAT,2700929000,5379,1452945000,2022
NUSA TENGGARA TIMUR,1830920000,4129,756049900,2022
KALIMANTAN BARAT,2414786000,3028,731225800,2022
KALIMANTAN TENGAH,1082268000,3178,343918800,2022
KALIMANTAN SELATAN,2149089000,3813.0000000000005,819419200,2022
KALIMANTAN TIMUR,649700100,3685,239425300,2022
KALIMANTAN UTARA,86041900,3549,30533590,2022
SULAWESI UTARA,581955600,4188,243730300,2022
SULAWESI TENGAH,1689932000,4405,744408700,2022
SULAWESI SELATAN,10380840000,5164,5360169000,2022
SULAWESI TENGGARA,1182588000,4050,478958000,2022
GORONTALO,468234700,5129,240134500,2022
SULAWESI BARAT,693239500,5099,353513300,2022
MALUKU,239878200,3860,92601060,2022
MALUKU UTARA,64164500,3815.9999999999995,24486030,2022
PAPUA BARAT,54605900,4389,23963920,2022
PAPUA BARAT DAYA,NA,NA,NA,2022
PAPUA,497419100.00000006,3899,193943500,2022
PAPUA SELATAN,NA,NA,NA,2022
PAPUA TENGAH,NA,NA,NA,2022
PAPUA PEGUNUNGAN,NA,NA,NA,2022
ACEH,2542873800,5522,1404234820,2023
SUMATERA UTARA,4061094900,5140,2087474150,2023
SUMATERA BARAT,3005647700,4932,1482468790,2023
RIAU,519141400,3968,205972550,2023
JAMBI,612366400,4506,275941450,2023
SUMATERA SELATAN,5041430300,5619,2832773920,2023
BENGKULU,578771800,4953,286684430,2023
LAMPUNG,5301080900,5203,2757898190,2023
KEP. BANGKA BELITUNG,152845600,4349,66468890,2023
KEP. RIAU,1152700,2811,324010,2023
DKI JAKARTA,5429299.999999999,4926,2674280,2023
JAWA BARAT,15836562800,5771,9140039200,2023
JAWA TENGAH,16427612300,5530,9084107530,2023
DI YOGYAKARTA,1056936600,5053,534113689.99999994,2023
JAWA TIMUR,16980833100,5719,9710661330,2023
BANTEN,3111997300,5419,1686483290,2023
BALI,1085140600,6207,673580650,2023
NUSA TENGGARA BARAT,2875121400,5351,1538536920,2023
NUSA TENGGARA TIMUR,1846988900.0000002,4152,766810460,2023
KALIMANTAN BARAT,2240685200,3125,700290800,2023
KALIMANTAN TENGAH,1015803000,3256,330781050,2023
KALIMANTAN SELATAN,2142838200,4086,875545730,2023
KALIMANTAN TIMUR,570820100,3976,226972070,2023
KALIMANTAN UTARA,64999200,3631,23602000,2023
SULAWESI UTARA,545629500,4365,238193410,2023
SULAWESI TENGAH,1776990300,4622,821367410,2023
SULAWESI SELATAN,9677902100,5039,4876386110,2023
SULAWESI TENGGARA,1139302600,4208,479407250,2023
GORONTALO,496104700,5068,251431760,2023
SULAWESI BARAT,586066700,4973,291458590,2023
MALUKU,226366800,3532,79958340,2023
MALUKU UTARA,77090700,3459.0000000000005,26663230,2023
PAPUA BARAT,50062700.00000001,4508,22566810,2023
PAPUA BARAT DAYA,5798300,4134,2396950,2023
PAPUA,8401800,4476,3760450,2023
PAPUA SELATAN,448078600,4098,183627830,2023
